Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Zoyamor Felix Yorick Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Scandinavian) a form of George, (English) son of Roger
Zoyamor Phoenix Quigley NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Irish) maternal side, (American) new Williams
Reginald Philander Emeterio NeoWilliams ::: (English) king's advisor, (Greek) lover of mankind, (Greek) he who deserves affection, (American) new Williams
Maro Fileas Yorick Darwin ::: (Japanese) myself, (Greek) he who loves deeply, (Scandinavian) a form of George, (English) dear friend
Reginald Fileas Zoyamor Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Zoyamor Phoenix Felix Darwin ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Latin) fortunate; happy, (English) dear friend
Maro Zoyamor Yorick Hodgson ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) son of Roger
Maro Bonito Percival NeoWilliams ::: (Japanese) myself, (Latin) worthy, (French) pierce the valley, (American) new Williams
Maro Quigley Percival Darwin ::: (Japanese) myself, (Irish) maternal side, (French) pierce the valley, (English) dear friend
Reginald Renatus Wright Blackburn ::: (English) king's advisor, (Italian) reborn, (English) maker, (Scottish) black brook
Zoyamor Renatus Philander NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) lover of mankind, (American) new Williams
Zoyamor Reginald Renatus Darwin ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Italian) reborn, (English) dear friend
Reginald Felix Yorick NeoWilliams ::: (English) king's advisor, (Latin) fortunate; happy, (Scandinavian) a form of George, (American) new Williams
Zoyamor Felix Reginald NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) king's advisor, (American) new Williams
Zoyamor Herodes Reginald Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (English) king's advisor, (Scottish) black brook
Reginald Bonito Blackburn NeoWilliams ::: (English) king's advisor, (Latin) worthy, (Scottish) black brook, (American) new Williams
Reginald Zoyamor Androcles Darwin ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) dear friend
Maro Felix Blackburn Gaylord ::: (Japanese) myself, (Latin) fortunate; happy, (Scottish) black brook, (French) merry lord; jailer
Reginald Bonito NeoWilliams Blackburn ::: (English) king's advisor, (Latin) worthy, (American) new Williams, (Scottish) black brook
Zoyamor Androcles NeoWilliams Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (American) new Williams, (English) son of Roger
Maro Yorick Emeterio Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) he who deserves affection, (English) son of Roger
Maro Reginald Bonito Wright ::: (Japanese) myself, (English) king's advisor, (Latin) worthy, (English) maker
Maro Reginald Felix Zoyamor ::: (Japanese) myself, (English) king's advisor, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Reginald Herodes Maro Hodgson ::: (English) king's advisor, (Greek) the fire dragon, (Japanese) myself, (English) son of Roger
Reginald Maro Renatus Gaylord ::: (English) king's advisor, (Japanese) myself, (Italian) reborn, (French) merry lord; jailer
Zoyamor Waterfall Herodes Wright ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Greek) the fire dragon, (English) maker
Reginald Renatus Emeterio Waterfall ::: (English) king's advisor, (Italian) reborn, (Greek) he who deserves affection, (American) waterfall
Reginald Bonito Felix Zoyamor ::: (English) king's advisor, (Latin) worthy, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Maro Fileas Zoyamor Gaylord ::: (Japanese) myself, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Reginald Bonito Maro Wright ::: (English) king's advisor, (Latin) worthy, (Japanese) myself, (English) maker
Reginald Yorick Emeterio Darwin ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) he who deserves affection, (English) dear friend
Zoyamor Phoenix Yorick Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Scandinavian) a form of George, (Scottish) black brook
Zoyamor Maro Darwin Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) dear friend, (Scottish) black brook
Reginald Yorick Androcles Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) man covered with glory, (English) son of Roger
Maro Zoyamor Quigley NeoWilliams ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (American) new Williams
Reginald Percival Herodes Darwin ::: (English) king's advisor, (French) pierce the valley, (Greek) the fire dragon, (English) dear friend
Zoyamor Maro Darwin Wright ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) dear friend, (English) maker
Reginald Waterfall NeoWilliams Wright ::: (English) king's advisor, (American) waterfall, (American) new Williams, (English) maker
Reginald Percival Yorick Blackburn ::: (English) king's advisor, (French) pierce the valley, (Scandinavian) a form of George, (Scottish) black brook
Reginald Felix NeoWilliams Blackburn ::: (English) king's advisor, (Latin) fortunate; happy, (American) new Williams, (Scottish) black brook
Maro Zoyamor Gaylord NeoWilliams ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer, (American) new Williams
Reginald Bonito Quigley Zoyamor ::: (English) king's advisor, (Latin) worthy, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Renatus Hodgson Gaylord ::: (Japanese) myself, (Italian) reborn, (English) son of Roger, (French) merry lord; jailer
Maro Philander Zoyamor Darwin ::: (Japanese) myself, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings, (English) dear friend
Reginald Phoenix Blackburn Gaylord ::: (English) king's advisor, (English) phoenix, (Scottish) black brook, (French) merry lord; jailer
Zoyamor Phoenix Philander Wright ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Greek) lover of mankind, (English) maker
Reginald Herodes Blackburn Darwin ::: (English) king's advisor, (Greek) the fire dragon, (Scottish) black brook, (English) dear friend
Reginald Felix Gaylord Wright ::: (English) king's advisor, (Latin) fortunate; happy, (French) merry lord; jailer, (English) maker
Maro Waterfall Phoenix Blackburn ::: (Japanese) myself, (American) waterfall, (English) phoenix, (Scottish) black brook
Reginald Fileas Felix Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Maro Reginald Fileas Waterfall ::: (Japanese) myself, (English) king's advisor, (Greek) he who loves deeply, (American) waterfall
Reginald Bonito Yorick Zoyamor ::: (English) king's advisor, (Latin) worthy, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Reginald Fileas Darwin Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (English) dear friend, (Scottish) black brook
Zoyamor Percival Maro Darwin ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Japanese) myself, (English) dear friend
Reginald Herodes Renatus Gaylord ::: (English) king's advisor, (Greek) the fire dragon, (Italian) reborn, (French) merry lord; jailer
Zoyamor Maro Yorick Gaylord ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Scandinavian) a form of George, (French) merry lord; jailer
Reginald Herodes Bonito Blackburn ::: (English) king's advisor, (Greek) the fire dragon, (Latin) worthy, (Scottish) black brook
Zoyamor Bonito Fileas Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) he who loves deeply, (French) merry lord; jailer
Reginald Philander Fileas NeoWilliams ::: (English) king's advisor, (Greek) lover of mankind, (Greek) he who loves deeply, (American) new Williams
Zoyamor Philander Felix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Latin) fortunate; happy, (American) waterfall
Zoyamor Waterfall Bonito Gaylord ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Latin) worthy, (French) merry lord; jailer
Zoyamor Felix Wright Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) maker, (English) son of Roger
Reginald Renatus Herodes Hodgson ::: (English) king's advisor, (Italian) reborn, (Greek) the fire dragon, (English) son of Roger
Maro Percival Renatus Hodgson ::: (Japanese) myself, (French) pierce the valley, (Italian) reborn, (English) son of Roger
Maro Fileas Bonito Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (Latin) worthy, (Scottish) black brook
Maro Percival Hodgson Gaylord ::: (Japanese) myself, (French) pierce the valley, (English) son of Roger, (French) merry lord; jailer
Maro Emeterio NeoWilliams Blackburn ::: (Japanese) myself, (Greek) he who deserves affection, (American) new Williams, (Scottish) black brook
Maro Quigley Renatus NeoWilliams ::: (Japanese) myself, (Irish) maternal side, (Italian) reborn, (American) new Williams
Reginald Androcles Fileas Wright ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (English) maker
Zoyamor Bonito Herodes Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) the fire dragon, (Scottish) black brook
Maro Emeterio Zoyamor Hodgson ::: (Japanese) myself, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Reginald Bonito Maro Blackburn ::: (English) king's advisor, (Latin) worthy, (Japanese) myself, (Scottish) black brook
Maro Fileas Herodes Darwin ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) the fire dragon, (English) dear friend
Reginald Androcles Fileas Blackburn ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (Scottish) black brook
Maro Bonito Philander Hodgson ::: (Japanese) myself, (Latin) worthy, (Greek) lover of mankind, (English) son of Roger
Zoyamor Percival Blackburn Gaylord ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Scottish) black brook, (French) merry lord; jailer
Maro Felix Philander Hodgson ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) lover of mankind, (English) son of Roger
Maro Felix Herodes NeoWilliams ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) the fire dragon, (American) new Williams
Reginald Emeterio Herodes Wright ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) the fire dragon, (English) maker
Zoyamor Felix Maro Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Japanese) myself, (American) waterfall
Zoyamor Phoenix NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (American) new Williams
Reginald Percival Philander Gaylord ::: (English) king's advisor, (French) pierce the valley, (Greek) lover of mankind, (French) merry lord; jailer
Maro Yorick Herodes Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) the fire dragon, (English) son of Roger
Maro Waterfall Percival Gaylord ::: (Japanese) myself, (American) waterfall, (French) pierce the valley, (French) merry lord; jailer
Maro Quigley Renatus Waterfall ::: (Japanese) myself, (Irish) maternal side, (Italian) reborn, (American) waterfall
Maro Androcles Zoyamor Wright ::: (Japanese) myself, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings, (English) maker
Zoyamor Renatus Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) the fire dragon, (American) new Williams
Reginald Felix NeoWilliams Gaylord ::: (English) king's advisor, (Latin) fortunate; happy, (American) new Williams, (French) merry lord; jailer
Maro Renatus Quigley Zoyamor ::: (Japanese) myself, (Italian) reborn, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Yorick Waterfall Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (American) waterfall, (English) son of Roger
Zoyamor Phoenix Percival Wright ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (French) pierce the valley, (English) maker
Reginald Androcles Philander Darwin ::: (English) king's advisor, (Greek) man covered with glory, (Greek) lover of mankind, (English) dear friend
Zoyamor Herodes Fileas Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Greek) he who loves deeply, (English) maker
Zoyamor Waterfall Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (English) dear friend, (American) new Williams
Reginald Felix Quigley Waterfall ::: (English) king's advisor, (Latin) fortunate; happy, (Irish) maternal side, (American) waterfall
Zoyamor Philander Phoenix Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) phoenix, (English) maker
Maro Waterfall Herodes Hodgson ::: (Japanese) myself, (American) waterfall, (Greek) the fire dragon, (English) son of Roger
Zoyamor Phoenix Blackburn NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Scottish) black brook, (American) new Williams
Reginald Quigley Bonito Gaylord ::: (English) king's advisor, (Irish) maternal side, (Latin) worthy, (French) merry lord; jailer
Maro Waterfall Phoenix Gaylord ::: (Japanese) myself, (American) waterfall, (English) phoenix, (French) merry lord; jailer
Zoyamor Maro Herodes Gaylord ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) the fire dragon, (French) merry lord; jailer
